Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6i0V12jOa3mr6uu4WYhUBr,"3YQKmKGau1PzlVlkL1iodx","Heathens","Heathens","Twenty One Pilots",2016-06-16,195920,82,spotify:user:1130225252,2016-07-05T18:36:26Z,"modern rock,pop,pov: indie,rock",0.732,0.396,4,-9.348,0,0.0286,0.0841,0.0000358,0.105,0.548,90.024,4
3KZcrZ36LW9RnChK1iIkth,"4dpARuHxo51G3z768sgnrY","Send My Love (To Your New Lover)","25","Adele",2015-11-20,223078,0,spotify:user:1130225252,2016-07-05T18:36:28Z,"british soul,pop,pop soul,uk pop",0.688,0.532,6,-8.361,0,0.0875,0.0356,0.00000308,0.172,0.565,164.068,4
0cj2joJcY6b4XSRfj2eZOl,"4dpARuHxo51G3z768sgnrY","When We Were Young","25","Adele",2015-11-20,290900,0,spotify:user:1130225252,2016-07-05T18:36:37Z,"british soul,pop,pop soul,uk pop",0.377,0.595,3,-5.936,1,0.0489,0.303,0,0.095,0.264,144.464,4
6QPKYGnAW9QozVz2dSWqRg,"4dpARuHxo51G3z768sgnrY","Someone Like You","21","Adele",2011-01-19,285240,0,spotify:user:1130225252,2016-07-05T18:36:40Z,"british soul,pop,pop soul,uk pop",0.554,0.321,9,-8.251,1,0.028,0.893,0,0.0996,0.288,135.047,4
5PKWUDfQFtc5qqo8cs1gQp,"4dpARuHxo51G3z768sgnrY","Set Fire to the Rain","21","Adele",2011-01-19,242973,0,spotify:user:1130225252,2016-07-05T18:36:42Z,"british soul,pop,pop soul,uk pop",0.603,0.67,2,-3.882,0,0.0249,0.00408,0.00000166,0.112,0.445,107.995,4
1NrJYpdAi7uosDRPmSYrsG,"5Pwc4xIPtQLFEnJriah9YJ","Apologize","Dreaming Out Loud","OneRepublic",2007-01-01,208106,70,spotify:user:1130225252,2016-07-05T18:36:55Z,"piano rock,pop",0.593,0.74,8,-6.12,1,0.0339,0.363,0.0000222,0.102,0.502,118.008,4
6hvNLxrHBdR1qzdrKasCPE,"4wKjWfqZbq8A1iExbdFDXa","Onnelliseksi","Julius Kivi on hullu","Juju",2014-05-31,213013,32,spotify:user:1130225252,2016-07-05T18:37:03Z,"finnish dance pop,finnish hip hop",0.645,0.434,0,-7.791,1,0.0399,0.00187,0.00226,0.124,0.249,100.01,4
5pY3ovFxbvAg7reGZjJQSp,"6eUKZXaKkcviH0Ku9w2n3V","I See Fire","x (Deluxe Edition)","Ed Sheeran",2014-06-21,299146,0,spotify:user:1130225252,2016-07-05T18:37:06Z,"pop,singer-songwriter pop,uk pop",0.641,0.176,6,-11.692,1,0.0349,0.638,0.00000514,0.252,0.297,76.031,4
11bD1JtSjlIgKgZG2134DZ,"3rIZMv9rysU7JkLzEaC5Jp","Chasing Cars","Eyes Open","Snow Patrol",2006-01-01,267933,2,spotify:user:1130225252,2016-07-05T18:37:13Z,"irish rock,modern rock,neo mellow,permanent wave,pop rock",0.563,0.592,9,-4.571,1,0.0276,0.209,0.0000508,0.132,0.136,104.016,4
6Vc5wAMmXdKIAM7WUoEb7N,"5xKp3UyavIBUsGy3DQdXeF,1l7ZsJRRS8wlW3WfJfPfNS","Say Something","Is There Anybody Out There?","A Great Big World,Christina Aguilera",2014-01-20,229400,73,spotify:user:1130225252,2016-07-05T18:37:15Z,"neo mellow,piano rock,pop rock,viral pop,dance pop,pop",0.407,0.147,2,-8.822,1,0.0355,0.857,0.00000289,0.0913,0.0765,141.284,3
2QJnTfMpNG05KFf2E3gVIJ,"137W8MRPWKqSmrBGDBFSop,5yG7ZAZafVaAlMTeBybKAL","Go Hard or Go Home","Furious 7: Original Motion Picture Soundtrack","Wiz Khalifa,Iggy Azalea",2015-03-17,232772,57,spotify:user:1130225252,2016-07-05T18:37:20Z,"hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap,australian hip hop,dance pop,pop",0.651,0.741,4,-5.067,0,0.0408,0.00293,0.000012,0.217,0.386,168.02,4
1gou2U6ZcLKXLBC3MYVtEu,"0AK0qOs8ykb6CsaYks1xwK","Läikkyy","Läikkyy","Arttu Lindeman",2016-06-20,206200,32,spotify:user:1130225252,2016-07-05T18:37:22Z,"finnish dance pop,finnish hip hop,finnish pop",0.669,0.846,4,-3.976,0,0.156,0.15,0,0.154,0.793,150.014,4
4htrHrq1AB38vprDEha0hv,"7ISARfXENNWqIhKcO6kyrG","1972","Klassikot","Anssi Kela",2012-10-01,249560,10,spotify:user:1130225252,2016-07-05T18:37:24Z,"finnish dance pop,finnish pop,iskelma,suomi rock",0.542,0.644,3,-6.196,1,0.0961,0.0219,0,0.138,0.545,153.972,4
26nr9XnFCYWxBTIP7HyWXg,"26dSoYclwsYLMAKD3tpOr4","Toxic","Greatest Hits: My Prerogative","Britney Spears",2004-11-08,198813,51,spotify:user:1130225252,2016-07-05T18:37:27Z,"dance pop,pop",0.774,0.839,5,-3.948,0,0.114,0.027,0.0166,0.252,0.923,142.985,4
02RaNOB5CIiXAhgvLE6Xp0,"79Pc4RR5E625J7dK543jDw","Älä herätä mua unesta","Versus","Mikael Gabriel",2015-05-15,204573,48,spotify:user:1130225252,2016-07-05T18:37:29Z,"finnish dance pop,finnish hip hop,finnish pop",0.656,0.675,1,-7.455,1,0.0457,0.119,0,0.0925,0.353,126.889,4
3PfG2rMOU9HglycfbIC4yM,"0FgPkjSOY3FoLQRXeNbkhL","Spaceman","2.0","Aste",2015-03-27,197453,36,spotify:user:1130225252,2016-07-05T18:37:32Z,"finnish dance pop,finnish hip hop,finnish pop",0.737,0.95,6,-2.522,0,0.0611,0.017,0,0.233,0.968,127,4
1ttYNQjND5nBtUnpNMlLQQ,"0FgPkjSOY3FoLQRXeNbkhL","Only One","2.0","Aste",2015-03-27,240280,25,spotify:user:1130225252,2016-07-05T18:37:32Z,"finnish dance pop,finnish hip hop,finnish pop",0.578,0.839,2,-3.806,1,0.0755,0.000649,0,0.0708,0.509,121.995,4
5U2m76qAMdr3gXI0g6ptlG,"0C8ZW7ezQVs4URX5aX7Kqx","Come & Get It","Stars Dance","Selena Gomez",2013-01-01,231986,0,spotify:user:1130225252,2016-07-05T18:37:35Z,"pop,post-teen pop",0.349,0.795,7,-4.133,0,0.0758,0.0102,0.000138,0.0812,0.542,148.985,1
7kUtJKGZzLNgIkq1Galkt0,"5Pwc4xIPtQLFEnJriah9YJ","Wherever I Go","Wherever I Go","OneRepublic",2016-05-13,170213,0,spotify:user:1130225252,2016-07-05T18:37:37Z,"piano rock,pop",0.543,0.691,10,-6.403,0,0.0425,0.107,0,0.218,0.335,100.014,4
2KMJ5CoxY4ECG9TZyNWmpv,"3t5xRXzsuZmMDkQzgOX35S,0z4gvV4rjIZ9wHck67ucSV","Heatwave (feat. Akon)","Sugar","Robin Schulz,Akon",2015-09-25,187126,58,spotify:user:1130225252,2016-07-05T18:37:41Z,"deep euro house,deep house,edm,german dance,pop dance,tropical house,dance pop",0.702,0.82,7,-4.323,0,0.063,0.196,0,0.156,0.52,107.936,4
2hQVEDz4hG8RGmzSPKTDrT,"3zh3U2eQ64EhBFbJuxgf1M,2gAcO16AKQdceAd36Oxe18,5SWg48UK0FZTbr5Q3ubfD6","Hubba Bubba","Hubba Bubba","Teflon Brothers,Ressu Redford,Heavyweight",2016-05-30,207394,0,spotify:user:1130225252,2016-07-05T18:37:44Z,"finnish dance pop,finnish hip hop,finnish pop,suomi rock,classic iskelma,iskelma",0.68,0.847,11,-6.439,1,0.0353,0.000755,0,0.159,0.792,136.039,4
16NOHRm0OEjmg55OZAxVmV,"2VAnyOxzJuSAj7XIuEOT38,62DmErcU7dqZbJaDqwsqzR","I'm In Control","I'm In Control","AlunaGeorge,Popcaan",2016-01-21,209425,0,spotify:user:1130225252,2016-07-05T18:37:46Z,"electropop,house,uk dance,dancehall,jamaican hip hop,reggae fusion,traphall",0.734,0.847,11,-3.713,0,0.0346,0.355,0.000144,0.154,0.673,104.013,4
7FKjWBgGgCGYoRRDIhp4bR,"2HkAI0YrEcgoR8QdaURqhO,4pwXiI7Z5ZStkgKowZyoKi,2rTo8KIkBTFjQS7VvaKYQ4","Arcade - Radio Edit","Arcade (Radio Edit)","Dimitri Vegas,Like Mike,W&W",2016-03-11,225000,27,spotify:user:1130225252,2016-07-05T18:37:47Z,"belgian edm,pop dance,big room,dutch house,dutch trance,edm,electro house,progressive electro house",0.565,0.957,3,-4.167,0,0.0723,0.00923,0.69,0.293,0.175,127.953,4
4odiyU3myG29Ld0wurMfE8,"3Isy6kedDrgPYoTS1dazA9","She Doesn't Mind","Tomahawk Technique","Sean Paul",2012-01-24,227786,73,spotify:user:1130225252,2016-07-05T18:37:51Z,"dance pop,dancehall,pop,pop rap",0.718,0.776,7,-5.208,0,0.0693,0.000624,0.0000053,0.207,0.622,120.015,4
3peFUAm5l0kWIJXy7Q8GYP,"0FhsW40UydsdpNcKlkJEKC,5aRJSojqECvYwc3cfCGOuc","Satellites - Radio Edit","Satellites","Bobby Burns,Hannah Robinson",2015-07-13,232518,0,spotify:user:1130225252,2016-07-05T18:37:55Z,"progressive electro house",0.535,0.829,4,-4.371,1,0.0613,0.0713,0.000027,0.146,0.573,127.952,4
34NNeV9jfgNgaALgUr0u9V,"6hyMWrxGBsOx6sWcVj1DqP,4AVFqumd2ogHFlRbKIjp1t,4we5S2VLjgY9KzIzApL1KI","Calling (Lose My Mind) - Radio Edit","Calling (Lose My Mind)","Sebastian Ingrosso,Alesso,Ryan Tedder",2012-01-01,205440,0,spotify:user:1130225252,2016-07-05T18:37:56Z,"dutch house,edm,electro house,pop dance,progressive electro house,progressive house,dance pop,pop,pop rock",0.416,0.849,1,-4.909,0,0.0455,0.00864,0.000138,0.204,0.147,125.098,4
